,FullName,SegmentID,CD,CS_RoundSc_Q1_2016,CS_RoundSc_Q4_2016,CS_RoundSc_Q4_2017,Miles,SanDist,LAPD_Grid,Cat_Q1_2016,Cat_Q4_2016,Cat_Q4_2017
35519,Alley,39133,11,0,1,1,0.055019459928255,WLA,1445,Not Evaluated,Clean,Clean
35520,Alley,39134,8,2,1,1,0.034384787134228,SC,1203,Somewhat Clean,Clean,Clean
35521,Alley,39135,8,2,1,1,0.031391209872707,SC,1203,Somewhat Clean,Clean,Clean
35522,Alley,39136,8,3,2,2,0.251890607133467,SC,1203,Not Clean,Somewhat Clean,Somewhat Clean
35523,,39137,8,1,1,1,0.031596385941678,SC,1205,Clean,Clean,Clean
35524,Alley,39138,11,2,1,1,0.176174743992861,WLA,1444,Somewhat Clean,Clean,Clean
35525,Alley,39139,11,2,1,1,0.030449088834399,WLA,1444,Somewhat Clean,Clean,Clean
35526,Alley,39140,9,0,1,1,0.032198562610149,0,1239,Not Evaluated,Clean,Clean
35527,Alley,39141,11,1,1,1,0.091138530231485,WLA,1444,Clean,Clean,Clean
35528,Alley,39143,11,1,1,1,0.030417165380618,WLA,1444,Clean,Clean,Clean
35529,Alley,39144,9,0,1,1,0.031265193977998,0,1239,Not Evaluated,Clean,Clean
35530,Alley,39145,8,3,1,1,0.05829091785971,SC,1233,Not Clean,Clean,Clean
35531,Alley,39146,8,1,1,1,0.029934068247652,SC,1233,Clean,Clean,Clean
35532,Alley,39147,8,2,1,1,0.031252932164199,SC,1233,Somewhat Clean,Clean,Clean
35533,Alley,39148,9,3,3,1,0.092161807275843,SC,1383,Not Clean,Not Clean,Clean
35534,Alley,39149,8,1,1,1,0.005999928532596,SC,1266,Clean,Clean,Clean
35535,Alley,39150,8,1,1,1,0.061634141753653,SC,1841,Clean,Clean,Clean
35536,Alley,39151,15,3,2,1,0.115173115498439,SC,1836,Not Clean,Somewhat Clean,Clean
35537,Alley,39152,8,1,2,2,0.07201329467673,SC,1844,Clean,Somewhat Clean,Somewhat Clean
35538,Alley,39153,8,2,2,2,0.091600131889527,SC,1841,Somewhat Clean,Somewhat Clean,Somewhat Clean
35539,Alley,39154,15,2,3,1,0.154046584826669,SC,1838,Somewhat Clean,Not Clean,Clean
35540,Alley,39155,8,2,2,1,0.059869487720615,SC,1842,Somewhat Clean,Somewhat Clean,Clean
35541,Alley,39156,8,1,1,1,0.059869480246547,SC,1841,Clean,Clean,Clean
35542,Alley,39157,8,1,2,1,0.055456505650359,SC,1844,Clean,Somewhat Clean,Clean
35543,Alley,39158,8,2,2,1,0.122998907930565,SC,1841,Somewhat Clean,Somewhat Clean,Clean
35544,Alley,39159,15,2,1,1,0.069334854622458,SC,1837,Somewhat Clean,Clean,Clean
35545,Alley,39161,15,0,1,1,0.031391448866642,0,518,Not Evaluated,Clean,Clean
35546,Alley,39162,15,0,1,1,0.054336314776772,0,509,Not Evaluated,Clean,Clean
35547,Alley,39163,15,2,1,1,0.100145130328822,HB,526,Somewhat Clean,Clean,Clean
35548,Alley,39164,15,2,1,2,0.100155737373298,HB,526,Somewhat Clean,Clean,Somewhat Clean
35549,Alley,39165,8,2,1,1,0.04862841902349,SC,1241,Somewhat Clean,Clean,Clean
35550,Alley,39166,11,1,1,1,0.042608749954892,WLA,1452,Clean,Clean,Clean
35551,Alley,39167,8,1,1,1,0.027564056422615,SC,1245,Clean,Clean,Clean
35552,Alley,39168,8,2,2,1,0.05568158675822,SC,1245,Somewhat Clean,Somewhat Clean,Clean
35553,Alley,39169,8,1,1,1,0.055725053538643,SC,1243,Clean,Clean,Clean
35554,Alley,39170,11,2,1,1,0.129931401319548,WLA,1469,Somewhat Clean,Clean,Clean
35555,Alley,39171,11,1,1,1,0.044473006103389,WLA,1452,Clean,Clean,Clean
35556,Alley,39172,8,2,1,1,0.047888309928662,SC,1251,Somewhat Clean,Clean,Clean
